species,longitude,latitude,aet,cwd,ppt,pptdjf,tmn,tmx,tmxjja,fvegrec,mam,brd,rep
Ixodes pacificus,-324598.0949,448632.3324,517.8400269,422.6300049,3036.719971,472.4089966,4.856699944,17.36669922,26.48430061,8,62,131,17
Ixodes pacificus,-335847.7303,448441.4101,639.9130249,317.1069946,2468,388.7869873,5.833300114,17.69669914,24.00169945,7,60,154,16
Ixodes pacificus,-298982.4049,448024.5398,497.946991,421.5629883,1646.719971,263.1010132,3.843300104,18.44000053,28.25429916,8,63,130,16
Ixodes pacificus,-308712.2601,447225.8882,516.5670166,395.8070068,2038.719971,344.3420105,2.903300047,18.24670029,28.22109985,7,62,128,16
Ixodes pacificus,-286463.4015,446683.0868,375.3129883,389.322998,1989.609985,350.6090088,3.613300085,12.90670013,22.14030075,1,62,128,17
Ixodes pacificus,-271373.911,447065.2525,360.2669983,476.4570007,1369.25,217.6399994,4.28000021,15.25329971,24.24839973,7,61,129,16
Ixodes pacificus,-296219.0948,446337.2107,463.677002,413.6430054,1945.97998,311.6430054,4.103300095,16.52669907,25.95260048,7,63,130,16
Ixodes pacificus,-288512.3892,446407.3293,450.303009,413.5100098,1954.410034,343.5820007,4.096700191,15.28999996,24.59309959,7,61,129,16
Ixodes pacificus,-274148.4125,446337.7429,374.8330078,461.1870117,1575.579956,251.6170044,3.476700068,14.27000046,23.49740028,7,61,128,16
Ixodes pacificus,-288476.6814,446111.0252,450.2730103,413.7929993,1957.72998,344.0690002,4.170000076,15.48999977,24.82320023,1,61,129,16
Ixodes pacificus,-293427.6021,445774.5843,452.7900085,311.5570068,2252.719971,376.9970093,3.559999943,13.18669987,22.30330086,1,63,127,16
Ixodes pacificus,-303494.2389,445883.3177,515.5700073,350.1570129,2138.189941,350.8590088,5.010000229,17.04330063,26.33499908,7,62,128,16
Ixodes pacificus,-345995.6961,445434.9746,712.5900269,290.4070129,2187.439941,341.5660095,6.579999924,18.07999992,23.8083992,6,60,161,16
Ixodes pacificus,-257981.1615,445317.605,364.2000122,456.7600098,815.5570068,123.0080032,4.803299904,15.52000046,24.64909935,7,62,130,16
Ixodes pacificus,-346010.3422,445486.8247,712.5900269,290.4070129,2187.439941,341.5660095,6.579999924,18.07999992,23.8083992,6,60,161,16
Ixodes pacificus,-267318.3853,445669.1472,427.3800049,510.1870117,1362.199951,233.8869934,4.99669981,16.52330017,25.86440086,6,62,129,16
Ixodes pacificus,-207323.0549,444945.7695,251.7100067,704.9329834,580.2630005,89.81960297,3.066699982,17.49670029,28.46489906,6,62,156,18
Ixodes pacificus,-176709.6811,444797.6122,390.0929871,461.7099915,535.8369751,71.65930176,2.25,16.31999969,27.00099945,7,62,168,17
Ixodes pacificus,-226622.2057,444541.6273,294.5669861,632.2399902,708.0570068,107.7990036,4.349999905,15.36999989,25.28289986,7,64,143,17
Ixodes pacificus,-310428.9453,444571.1297,522.2069702,373.7600098,2142.790039,357.2720032,3.343300104,17.93330002,27.5781002,7,64,130,16
Ixodes pacificus,-238488.7641,444454.8351,417.9899902,430.2229919,1085.880005,167.1860046,4.166699886,13.42669964,22.73360062,1,61,130,16
Ixodes pacificus,-321811.6978,444588.4712,507.8500061,348.9530029,2775.810059,443.5820007,5.356699944,16.82329941,25.71439934,8,62,130,17
Ixodes pacificus,-225582.8019,444658.3402,286.9070129,626,715.507019,110.4509964,3.956700087,15.13329983,25.12560081,7,64,143,17
Ixodes pacificus,-311609.5066,444127.1795,511.9230042,412.4400024,2178.810059,360.5620117,3.603300095,17.91329956,27.5727005,7,64,130,16
